iso_code,country,updated,confirmed,deaths
BIH,Bosnia and Herzegovina,04/10/20,59,1
BIH,Bosnia and Herzegovina,04/11/20,26,1
BIH,Bosnia and Herzegovina,04/12/20,47,0
BIH,Bosnia and Herzegovina,04/13/20,59,1
BIH,Bosnia and Herzegovina,04/14/20,21,0
BIH,Bosnia and Herzegovina,04/15/20,45,1
BIH,Bosnia and Herzegovina,04/16/20,27,1
BIH,Bosnia and Herzegovina,04/17/20,52,1
BIH,Bosnia and Herzegovina,04/18/20,58,3
BIH,Bosnia and Herzegovina,04/19/20,44,1
BIH,Bosnia and Herzegovina,04/20/20,15,1
BIH,Bosnia and Herzegovina,04/21/20,31,2
BIH,Bosnia and Herzegovina,04/22/20,40,2
BIH,Bosnia and Herzegovina,04/23/20,27,2
BIH,Bosnia and Herzegovina,04/24/20,46,1
BIH,Bosnia and Herzegovina,04/25/20,7,1
BIH,Bosnia and Herzegovina,04/26/20,65,2
BLR,Belarus,04/01/20,47,0
BLR,Belarus,04/02/20,0,0
BLR,Belarus,04/03/20,102,4
BLR,Belarus,04/04/20,97,0
BLR,Belarus,04/05/20,43,1
BLR,Belarus,04/06/20,170,3
BLR,Belarus,04/07/20,136,5
BLR,Belarus,04/08/20,161,0
BLR,Belarus,04/09/20,205,0
BLR,Belarus,04/10/20,420,3
BLR,Belarus,04/11/20,495,3
BLR,Belarus,04/12/20,245,4
BLR,Belarus,04/13/20,352,3
BLR,Belarus,04/14/20,341,3
BLR,Belarus,04/15/20,362,4
BLR,Belarus,04/16/20,447,3
BLR,Belarus,04/17/20,476,4
BLR,Belarus,04/18/20,575,2
BLR,Belarus,04/19/20,0,3
BLR,Belarus,04/20/20,0,2
BLR,Belarus,04/21/20,1485,4
BLR,Belarus,04/22/20,459,4
BLR,Belarus,04/23/20,558,3
BLR,Belarus,04/24/20,741,2
BLR,Belarus,04/25/20,751,3
BLR,Belarus,04/26/20,817,4
BLZ,Belize,04/01/20,0,0
BLZ,Belize,04/02/20,0,0
BLZ,Belize,04/03/20,0,0
BLZ,Belize,04/04/20,1,0
BLZ,Belize,04/05/20,0,0
BLZ,Belize,04/06/20,1,1
BLZ,Belize,04/07/20,2,0
BLZ,Belize,04/08/20,0,0
